item_id;item_type;trial_type;noun;article_correct;regular;greek_congruent;photo
1;Practice;Practice;Frau;die;yes;yes;trial1.jpg
2;Practice;Practice;Mann;der;yes;yes;trial2.jpg
3;Practice;Practice;Kind;das;yes;yes;trial3.jpg
4;Filler;Experimental;Zeitung;die;yes;yes;filler1.jpg
5;Filler;Experimental;Sonne;die;yes;no;filler2.jpg
6;Filler;Experimental;Mädchen;das;yes;yes;filler3.jpg
7;Filler;Experimental;Museum;das;yes;yes;filler4.jpg
8;Filler;Experimental;Kugelschreiber;der;yes;no;filler5.jpg
9;Filler;Experimental;Schmetterling;der;yes;no;filler6.jpg
10;Filler;Experimental;Bäume;die;yes;yes;filler7.jpg
11;Filler;Experimental;Großeltern;die;yes;yes;filler8.jpg
12;Filler;Experimental;Lampen;die;yes;yes;filler9.jpg
13;Filler;Experimental;Süßigkeiten;die;yes;yes;filler10.jpg
14;Filler;Experimental;Hunde;die;yes;yes;filler11.jpg
15;Filler;Experimental;Blumen;die;yes;yes;filler12.jpg
16;Filler;Experimental;Lehrer;der;yes;yes;filler13.jpg
17;Filler;Experimental;Ärztin;die;yes;yes;filler14.jpg
18;Filler;Experimental;Fotografin;die;yes;yes;filler15.jpg
19;Filler;Experimental;Professor;der;yes;yes;filler16.jpg
20;Critical;Experimental;Fenster;das;no;yes;critical1.jpg
21;Critical;Experimental;Stuhl;der;no;no;critical2.jpg
22;Critical;Experimental;Bild;das;no;no;critical3.jpg
23;Critical;Experimental;Spiegel;der;no;yes;critical4.jpg
24;Critical;Experimental;Kleiderschrank;der;no;no;critical5.jpg
25;Critical;Experimental;Buch;das;no;yes;critical6.jpg
26;Critical;Experimental;Dach;das;no;no;critical7.jpg
27;Critical;Experimental;Löffel;der;no;no;critical8.jpg
28;Critical;Experimental;Gabel;die;no;no;critical9.jpg
29;Critical;Experimental;Kissen;das;no;yes;critical10.jpg
30;Critical;Experimental;Tür;die;no;yes;critical11.jpg
31;Critical;Experimental;Bleistift;der;no;no;critical12.jpg
32;Critical;Experimental;Uhr;die;no;no;critical13.jpg
33;Critical;Experimental;Knöchel;der;no;yes;critical14.jpg
34;Critical;Experimental;Tasche;die;no;yes;critical15.jpg
35;Critical;Experimental;Handy;das;no;yes;critical16.jpg